captured_at,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-08-26T19:46:16.773519+00:00,True,META260925C00575000,META,2026-09-25,30dte,575.0,call,576.26,24.66,26.47,117,219,25.564999999999998,1.81,0.0708,0.9978,2026-08-26T19:46:16.06148208Z
2026-08-26T19:46:16.773519+00:00,True,META260925P00575000,META,2026-09-25,30dte,575.0,put,576.26,22.12,22.72,37,159,22.42,0.6,0.026762,0.9978,2026-08-26T19:46:15.95334977Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260925C00345000,GOOGL,2026-09-25,30dte,345.0,call,342.29,9.54,10.27,341,20,9.905,0.73,0.0737,1.0079,2026-08-26T19:46:16.636396772Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260925C00205000,NVDA,2026-09-25,30dte,205.0,call,209.6,12.51,12.82,412,124,12.665,0.31,0.024477,0.9781,2026-08-26T19:46:16.152414068Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260925P00310000,AAPL,2026-09-25,30dte,310.0,put,315.15,6.11,6.52,4,409,6.3149999999999995,0.41,0.064925,0.9837,2026-08-26T19:46:15.620359242Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260925C00320000,AAPL,2026-09-25,30dte,320.0,call,315.15,7.03,7.24,89,481,7.135,0.21,0.029432,1.0154,2026-08-26T19:46:15.554071293Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260925P00320000,AAPL,2026-09-25,30dte,320.0,put,315.15,11.05,11.25,25,59,11.15,0.2,0.017937,1.0154,2026-08-26T19:46:16.618053129Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260925P00260000,AMZN,2026-09-25,30dte,260.0,put,260.28,7.92,8.07,35,155,7.995,0.15,0.018762,0.9989,2026-08-26T19:46:15.607065719Z
2026-08-26T19:46:16.773519+00:00,True,INTC260925C00087000,INTC,2026-09-25,30dte,87.0,call,87.655,6.28,6.52,765,574,6.4,0.24,0.0375,0.9925,2026-08-26T19:46:14.558609929Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260925P00205000,NVDA,2026-09-25,30dte,205.0,put,209.6,7.18,7.57,245,465,7.375,0.39,0.052881,0.9781,2026-08-26T19:46:16.138188891Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260925C00315000,AAPL,2026-09-25,30dte,315.0,call,315.15,9.61,9.72,287,366,9.665,0.11,0.011381,0.9995,2026-08-26T19:46:15.86765974Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260925P00255000,AMZN,2026-09-25,30dte,255.0,put,260.28,5.71,6.07,73,316,5.890000000000001,0.36,0.061121,0.9797,2026-08-26T19:46:15.75799865Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260925C00310000,AAPL,2026-09-25,30dte,310.0,call,315.15,12.15,12.73,357,447,12.440000000000001,0.58,0.046624,0.9837,2026-08-26T19:46:15.872805967Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260925P00500000,MSFT,2026-09-25,30dte,500.0,put,496.57,14.74,15.41,24,58,15.075,0.67,0.044444,1.0069,2026-08-26T19:46:15.550607508Z
2026-08-26T19:46:16.773519+00:00,True,META260925P00580000,META,2026-09-25,30dte,580.0,put,576.26,24.36,25.58,30,159,24.97,1.22,0.048859,1.0065,2026-08-26T19:46:15.951264823Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260925C00255000,AMZN,2026-09-25,30dte,255.0,call,260.28,11.7,12,136,23,11.85,0.3,0.025316,0.9797,2026-08-26T19:46:15.787958534Z
2026-08-26T19:46:16.773519+00:00,True,AAPL260925P00315000,AAPL,2026-09-25,30dte,315.0,put,315.15,8.22,8.6,76,161,8.41,0.38,0.045184,0.9995,2026-08-26T19:46:15.633110403Z
2026-08-26T19:46:16.773519+00:00,True,INTC260925P00087000,INTC,2026-09-25,30dte,87.0,put,87.655,5.35,5.52,483,495,5.435,0.17,0.031279,0.9925,2026-08-26T19:46:14.621299177Z
2026-08-26T19:46:16.773519+00:00,True,INTC260925P00088000,INTC,2026-09-25,30dte,88.0,put,87.655,5.86,5.99,474,29,5.925000000000001,0.13,0.021941,1.0039,2026-08-26T19:46:16.497030604Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260925C00495000,MSFT,2026-09-25,30dte,495.0,call,496.57,15.92,16.4,33,73,16.16,0.48,0.029703,0.9968,2026-08-26T19:46:15.149733272Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260925P00335000,GOOGL,2026-09-25,30dte,335.0,put,342.29,7.07,7.43,17,122,7.25,0.36,0.049655,0.9787,2026-08-26T19:46:13.931670211Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260925C00490000,MSFT,2026-09-25,30dte,490.0,call,496.57,18.43,19.13,29,48,18.78,0.7,0.037274,0.9868,2026-08-26T19:46:15.278233959Z
2026-08-26T19:46:16.773519+00:00,True,MU260925P00940000,MU,2026-09-25,30dte,940.0,put,936.92,67.15,71.1,83,102,69.125,3.95,0.057143,1.0033,2026-08-26T19:46:14.620761729Z
2026-08-26T19:46:16.773519+00:00,True,AMD260925C00475000,AMD,2026-09-25,30dte,475.0,call,479.9,31.66,33.89,64,92,32.775,2.23,0.06804,0.9898,2026-08-26T19:46:14.39155503Z
2026-08-26T19:46:16.773519+00:00,True,AMD260925P00475000,AMD,2026-09-25,30dte,475.0,put,479.9,24.73,27.49,107,103,26.11,2.76,0.105707,0.9898,2026-08-26T19:46:15.896781851Z
2026-08-26T19:46:16.773519+00:00,True,MU260925P00930000,MU,2026-09-25,30dte,930.0,put,936.92,59.75,65.209,91,110,62.4795,5.459,0.087373,0.9926,2026-08-26T19:46:15.196278477Z
2026-08-26T19:46:16.773519+00:00,True,AMD260925P00480000,AMD,2026-09-25,30dte,480.0,put,479.9,28.76,29.67,44,96,29.215000000000003,0.91,0.031148,1.0002,2026-08-26T19:46:14.391981391Z
2026-08-26T19:46:16.773519+00:00,True,AMD260925C00485000,AMD,2026-09-25,30dte,485.0,call,479.9,27.43,29.43,103,102,28.43,2.0,0.070348,1.0106,2026-08-26T19:46:15.975876044Z
